Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Czech	REAL_REAL	0	0.01667	0.01667	0.01667	0.01667	0.96875
Czech	REAL_REAL	1	0.03335	0.03335	0.03335	0.03335	0.96875
Czech	REAL_REAL	2	0.05002	0.05002	0.05002	0.05002	0.96875
Czech	REAL_REAL	3	0.0667	0.0667	0.0667	0.0667	0.96875
Czech	REAL_REAL	4	0.08337	0.08337	0.08337	0.08337	0.96875
Czech	REAL_REAL	5	0.10004	0.10004	0.10004	0.10004	0.96875
Czech	REAL_REAL	6	0.11672	0.11672	0.11672	0.11672	0.96875
Czech	REAL_REAL	7	0.13339	0.13339	0.13339	0.13339	0.96875
Czech	REAL_REAL	8	0.15007	0.15007	0.15007	0.15007	0.96875
Czech	REAL_REAL	9	0.16674	0.16674	0.16674	0.16674	0.96875
Czech	REAL_REAL	10	0.18341	0.18341	0.18341	0.18341	0.96875
Czech	REAL_REAL	11	0.20009	0.20009	0.20009	0.20009	0.96875
Czech	REAL_REAL	12	0.21676	0.21676	0.21676	0.21676	0.96875
Czech	REAL_REAL	13	0.23344	0.23344	0.23344	0.23344	0.96875
Czech	REAL_REAL	14	0.25011	0.25011	0.25011	0.25011	0.96875
Czech	REAL_REAL	15	0.26678	0.26678	0.26678	0.26678	0.96875
Czech	REAL_REAL	16	0.28346	0.28346	0.28346	0.28346	0.96875
Czech	REAL_REAL	17	0.30013	0.30013	0.30013	0.30013	0.96875
Czech	REAL_REAL	18	0.3168	0.3168	0.3168	0.3168	0.96875
Czech	REAL_REAL	19	0.33348	0.33348	0.33348	0.33348	0.96875
Czech	REAL_REAL	20	0.35015	0.35015	0.35015	0.35015	0.96875
Czech	REAL_REAL	21	0.36683	0.36683	0.36683	0.36683	0.96875
Czech	REAL_REAL	22	0.3835	0.3835	0.3835	0.3835	0.96875
Czech	REAL_REAL	23	0.40017	0.40017	0.39817	0.40017	0.96875
Czech	REAL_REAL	24	0.41685	0.41102	0.4065	0.415	0.96875
Czech	REAL_REAL	25	0.43352	0.41936	0.41484	0.42334	0.96875
Czech	REAL_REAL	26	0.4502	0.42769	0.42318	0.43168	0.96875
Czech	REAL_REAL	27	0.46687	0.43603	0.43151	0.44001	0.96875
Czech	REAL_REAL	28	0.48354	0.44437	0.43985	0.44835	0.96875
Czech	REAL_REAL	29	0.50022	0.45194	0.44603	0.45669	0.96875
Czech	REAL_REAL	30	0.51689	0.45749	0.45158	0.46301	0.96875
Czech	REAL_REAL	31	0.53357	0.46226	0.45588	0.46857	0.96875
Czech	REAL_REAL	32	0.55024	0.46641	0.45966	0.47294	0.96875
Czech	REAL_REAL	33	0.56691	0.46958	0.4623	0.47678	0.96875
Czech	REAL_REAL	34	0.58359	0.47191	0.46344	0.47977	0.96875
Czech	REAL_REAL	35	0.60026	0.47273	0.46344	0.48202	0.96875
Czech	REAL_REAL	36	0.61694	0.47273	0.46344	0.48307	0.96875
Czech	REAL_REAL	37	0.63361	0.47273	0.46344	0.48307	0.96875
Czech	REAL_REAL	38	0.65028	0.47273	0.46344	0.48307	0.96875
Czech	RANDOM_BY_TYPE	0	0.01667	0.01667	0.01667	0.01667	0.99902
Czech	RANDOM_BY_TYPE	1	0.03335	0.03335	0.03335	0.03335	0.99902
