Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
English	REAL_REAL	0	0.01494	0.00747	0.00548	0.01494	0.98828
English	REAL_REAL	1	0.02988	0.01494	0.00579	0.02988	0.98828
English	REAL_REAL	2	0.04482	0.02208	0.00579	0.04482	0.98828
English	REAL_REAL	3	0.05976	0.02465	0.00579	0.05976	0.98828
English	REAL_REAL	4	0.0747	0.02465	0.00579	0.0747	0.98828
English	REAL_REAL	5	0.08964	0.02465	0.00579	0.08964	0.98828
English	REAL_REAL	6	0.10458	0.02465	0.00579	0.10458	0.98828
English	REAL_REAL	7	0.11952	0.02465	0.00579	0.11952	0.98828
English	REAL_REAL	8	0.13446	0.02465	0.00579	0.13446	0.98828
English	REAL_REAL	9	0.1494	0.02465	0.00579	0.1494	0.98828
English	REAL_REAL	10	0.16434	0.02465	0.00579	0.16434	0.98828
English	REAL_REAL	11	0.17929	0.02465	0.00579	0.17929	0.98828
English	REAL_REAL	12	0.19423	0.02465	0.00579	0.19423	0.98828
English	REAL_REAL	13	0.20917	0.02465	0.00579	0.20917	0.98828
English	REAL_REAL	14	0.22411	0.02465	0.00579	0.22411	0.98828
English	REAL_REAL	15	0.23905	0.02465	0.00579	0.23905	0.98828
English	REAL_REAL	16	0.25399	0.02465	0.00579	0.25399	0.98828
English	REAL_REAL	17	0.26893	0.02465	0.00579	0.26893	0.98828
English	REAL_REAL	18	0.28387	0.02465	0.00579	0.28387	0.98828
English	REAL_REAL	19	0.29881	0.02465	0.00579	0.29881	0.98828
English	REAL_REAL	20	0.31375	0.02465	0.00579	0.31375	0.98828
English	REAL_REAL	21	0.32869	0.02465	0.00579	0.32869	0.98828
English	REAL_REAL	22	0.34363	0.02465	0.00579	0.34363	0.98828
English	REAL_REAL	23	0.35857	0.02465	0.00579	0.35857	0.98828
English	REAL_REAL	24	0.37351	0.02465	0.00579	0.37351	0.98828
English	REAL_REAL	25	0.38845	0.02465	0.00579	0.38845	0.98828
English	REAL_REAL	26	0.40339	0.02465	0.00579	0.40339	0.98828
English	REAL_REAL	27	0.41833	0.02465	0.00579	0.41833	0.98828
English	REAL_REAL	28	0.43327	0.02465	0.00579	0.43327	0.98828
English	REAL_REAL	29	0.44821	0.02465	0.00579	0.44821	0.98828
English	REAL_REAL	30	0.46315	0.02465	0.00579	0.46315	0.98828
English	REAL_REAL	31	0.47809	0.02465	0.00579	0.47809	0.98828
English	REAL_REAL	32	0.49303	0.02465	0.00579	0.49303	0.98828
English	REAL_REAL	33	0.50797	0.02465	0.00579	0.50388	0.98828
English	REAL_REAL	34	0.52292	0.02465	0.00579	0.50759	0.98828
English	REAL_REAL	35	0.53786	0.02465	0.00579	0.51266	0.98828
English	REAL_REAL	36	0.5528	0.02465	0.00579	0.51764	0.98828
English	REAL_REAL	37	0.56774	0.02465	0.00579	0.52023	0.98828
English	REAL_REAL	38	0.58268	0.02465	0.00579	0.52043	0.98828
English	RANDOM_BY_TYPE	0	0.01494	0.00747	0.00697	0.01494	0.9734
English	RANDOM_BY_TYPE	1	0.02988	0.01494	0.01052	0.02988	0.9734
English	RANDOM_BY_TYPE	2	0.04482	0.02241	0.01089	0.04482	0.9734
English	RANDOM_BY_TYPE	3	0.05976	0.02988	0.01089	0.05976	0.9734
English	RANDOM_BY_TYPE	4	0.0747	0.03558	0.01089	0.0747	0.9734
English	RANDOM_BY_TYPE	5	0.08964	0.03799	0.01089	0.08964	0.9734
English	RANDOM_BY_TYPE	6	0.10458	0.038	0.01089	0.10458	0.9734
English	RANDOM_BY_TYPE	7	0.11952	0.038	0.01089	0.11952	0.9734
English	RANDOM_BY_TYPE	8	0.13446	0.038	0.01089	0.13446	0.9734
English	RANDOM_BY_TYPE	9	0.1494	0.038	0.01089	0.1494	0.9734
English	RANDOM_BY_TYPE	10	0.16434	0.038	0.01089	0.16434	0.9734
English	RANDOM_BY_TYPE	11	0.17929	0.038	0.01089	0.17929	0.9734
English	RANDOM_BY_TYPE	12	0.19423	0.038	0.01089	0.19423	0.9734
English	RANDOM_BY_TYPE	13	0.20917	0.038	0.01089	0.20917	0.9734
English	RANDOM_BY_TYPE	14	0.22411	0.038	0.01089	0.22411	0.9734
English	RANDOM_BY_TYPE	15	0.23905	0.038	0.01089	0.23905	0.9734
English	RANDOM_BY_TYPE	16	0.25399	0.038	0.01089	0.25399	0.9734
English	RANDOM_BY_TYPE	17	0.26893	0.038	0.01089	0.26893	0.9734
English	RANDOM_BY_TYPE	18	0.28387	0.038	0.01089	0.28387	0.9734
English	RANDOM_BY_TYPE	19	0.29881	0.038	0.01089	0.29881	0.9734
English	RANDOM_BY_TYPE	20	0.31375	0.038	0.01089	0.31375	0.9734
English	RANDOM_BY_TYPE	21	0.32869	0.038	0.01089	0.32869	0.9734
English	RANDOM_BY_TYPE	22	0.34363	0.038	0.01089	0.34363	0.9734
English	RANDOM_BY_TYPE	23	0.35857	0.038	0.01089	0.35857	0.9734
English	RANDOM_BY_TYPE	24	0.37351	0.038	0.01089	0.37351	0.9734
English	RANDOM_BY_TYPE	25	0.38845	0.038	0.01089	0.38845	0.9734
English	RANDOM_BY_TYPE	26	0.40339	0.038	0.01089	0.40339	0.9734
English	RANDOM_BY_TYPE	27	0.41833	0.038	0.01089	0.41247	0.9734
English	RANDOM_BY_TYPE	28	0.43327	0.038	0.01089	0.41994	0.9734
English	RANDOM_BY_TYPE	29	0.44821	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	30	0.46315	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	31	0.47809	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	32	0.49303	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	33	0.50797	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	34	0.52292	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	35	0.53786	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	36	0.5528	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	37	0.56774	0.038	0.01089	0.42054	0.9734
English	RANDOM_BY_TYPE	38	0.58268	0.038	0.01089	0.42054	0.9734
English	GROUND	0	0.01494	0.00747	0.00214	0.01494	0.98828
English	GROUND	1	0.02988	0.00999	0.00214	0.02988	0.98828
English	GROUND	2	0.04482	0.00999	0.00214	0.04482	0.98828
English	GROUND	3	0.05976	0.00999	0.00214	0.05976	0.98828
English	GROUND	4	0.0747	0.00999	0.00214	0.0747	0.98828
English	GROUND	5	0.08964	0.00999	0.00214	0.08964	0.98828
English	GROUND	6	0.10458	0.00999	0.00214	0.10458	0.98828
English	GROUND	7	0.11952	0.00999	0.00214	0.11952	0.98828
English	GROUND	8	0.13446	0.00999	0.00214	0.13446	0.98828
English	GROUND	9	0.1494	0.00999	0.00214	0.1494	0.98828
English	GROUND	10	0.16434	0.00999	0.00214	0.16434	0.98828
English	GROUND	11	0.17929	0.00999	0.00214	0.17929	0.98828
English	GROUND	12	0.19423	0.00999	0.00214	0.19423	0.98828
English	GROUND	13	0.20917	0.00999	0.00214	0.20917	0.98828
English	GROUND	14	0.22411	0.00999	0.00214	0.22411	0.98828
English	GROUND	15	0.23905	0.00999	0.00214	0.23905	0.98828
English	GROUND	16	0.25399	0.00999	0.00214	0.25399	0.98828
English	GROUND	17	0.26893	0.00999	0.00214	0.26893	0.98828
English	GROUND	18	0.28387	0.00999	0.00214	0.28387	0.98828
English	GROUND	19	0.29881	0.00999	0.00214	0.29881	0.98828
English	GROUND	20	0.31375	0.00999	0.00214	0.31375	0.98828
English	GROUND	21	0.32869	0.00999	0.00214	0.32869	0.98828
English	GROUND	22	0.34363	0.00999	0.00214	0.34363	0.98828
English	GROUND	23	0.35857	0.00999	0.00214	0.35857	0.98828
English	GROUND	24	0.37351	0.00999	0.00214	0.37351	0.98828
English	GROUND	25	0.38845	0.00999	0.00214	0.38845	0.98828
English	GROUND	26	0.40339	0.00999	0.00214	0.40339	0.98828
English	GROUND	27	0.41833	0.00999	0.00214	0.41833	0.98828
English	GROUND	28	0.43327	0.00999	0.00214	0.43327	0.98828
English	GROUND	29	0.44821	0.00999	0.00214	0.44821	0.98828
English	GROUND	30	0.46315	0.00999	0.00214	0.46315	0.98828
English	GROUND	31	0.47809	0.00999	0.00214	0.47809	0.98828
English	GROUND	32	0.49303	0.00999	0.00214	0.49303	0.98828
English	GROUND	33	0.50797	0.00999	0.00214	0.50163	0.98828
English	GROUND	34	0.52292	0.00999	0.00214	0.50315	0.98828
English	GROUND	35	0.53786	0.00999	0.00214	0.50523	0.98828
English	GROUND	36	0.5528	0.00999	0.00214	0.50523	0.98828
English	GROUND	37	0.56774	0.00999	0.00214	0.50523	0.98828
English	GROUND	38	0.58268	0.00999	0.00214	0.50523	0.98828
