Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Russian	REAL_REAL	0	0.00275	0.00275	0.00275	0.00275	0.96875
Russian	REAL_REAL	1	0.0055	0.0055	0.0055	0.0055	0.96875
Russian	REAL_REAL	2	0.00825	0.00825	0.00825	0.00825	0.96875
Russian	REAL_REAL	3	0.011	0.011	0.011	0.011	0.96875
Russian	REAL_REAL	4	0.01375	0.01375	0.01375	0.01375	0.96875
Russian	REAL_REAL	5	0.01649	0.01649	0.01649	0.01649	0.96875
Russian	REAL_REAL	6	0.01924	0.01924	0.01924	0.01924	0.96875
Russian	REAL_REAL	7	0.02199	0.02199	0.02199	0.02199	0.96875
Russian	REAL_REAL	8	0.02474	0.02474	0.02474	0.02474	0.96875
Russian	REAL_REAL	9	0.02749	0.02749	0.02749	0.02749	0.96875
Russian	REAL_REAL	10	0.03024	0.03024	0.03024	0.03024	0.96875
Russian	REAL_REAL	11	0.03299	0.03299	0.03299	0.03299	0.96875
Russian	REAL_REAL	12	0.03574	0.03574	0.03574	0.03574	0.96875
Russian	REAL_REAL	13	0.03849	0.03849	0.03849	0.03849	0.96875
Russian	REAL_REAL	14	0.04124	0.04124	0.04124	0.04124	0.96875
Russian	REAL_REAL	15	0.04399	0.04399	0.04399	0.04399	0.96875
Russian	REAL_REAL	16	0.04673	0.04673	0.04673	0.04673	0.96875
Russian	REAL_REAL	17	0.04948	0.04948	0.04948	0.04948	0.96875
Russian	REAL_REAL	18	0.05223	0.05223	0.05223	0.05223	0.96875
Russian	REAL_REAL	19	0.05498	0.05498	0.05498	0.05498	0.96875
Russian	REAL_REAL	20	0.05773	0.05773	0.05773	0.05773	0.96875
Russian	REAL_REAL	21	0.06048	0.06048	0.06048	0.06048	0.96875
Russian	REAL_REAL	22	0.06323	0.06323	0.06323	0.06323	0.96875
Russian	REAL_REAL	23	0.06598	0.06598	0.06598	0.06598	0.96875
Russian	REAL_REAL	24	0.06873	0.06873	0.06873	0.06873	0.96875
Russian	REAL_REAL	25	0.07148	0.07148	0.07148	0.07148	0.96875
Russian	REAL_REAL	26	0.07422	0.07422	0.07422	0.07422	0.96875
Russian	REAL_REAL	27	0.07697	0.07697	0.07697	0.07697	0.96875
Russian	REAL_REAL	28	0.07972	0.07972	0.07972	0.07972	0.96875
Russian	REAL_REAL	29	0.08247	0.08247	0.08222	0.08247	0.96875
Russian	REAL_REAL	30	0.08522	0.08522	0.08334	0.08522	0.96875
Russian	REAL_REAL	31	0.08797	0.08797	0.08334	0.08797	0.96875
Russian	REAL_REAL	32	0.09072	0.09072	0.08334	0.09072	0.96875
Russian	REAL_REAL	33	0.09347	0.09243	0.08334	0.09347	0.96875
Russian	REAL_REAL	34	0.09622	0.09329	0.08334	0.09622	0.96875
Russian	REAL_REAL	35	0.09897	0.09348	0.08334	0.09897	0.96875
Russian	REAL_REAL	36	0.10172	0.0938	0.08334	0.10145	0.96875
Russian	REAL_REAL	37	0.10446	0.09423	0.08334	0.10145	0.96875
Russian	REAL_REAL	38	0.10721	0.09442	0.08334	0.10145	0.96875
