Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Czech	REAL_REAL	0	0.00645	0.00645	0.00645	0.00645	0.96875
Czech	REAL_REAL	1	0.01291	0.01291	0.01291	0.01291	0.96875
Czech	REAL_REAL	2	0.01936	0.01936	0.01936	0.01936	0.96875
Czech	REAL_REAL	3	0.02581	0.02581	0.02581	0.02581	0.96875
Czech	REAL_REAL	4	0.03226	0.03226	0.03226	0.03226	0.96875
Czech	REAL_REAL	5	0.03872	0.03872	0.03872	0.03872	0.96875
Czech	REAL_REAL	6	0.04517	0.04517	0.04517	0.04517	0.96875
Czech	REAL_REAL	7	0.05162	0.05162	0.05162	0.05162	0.96875
Czech	REAL_REAL	8	0.05808	0.05808	0.05808	0.05808	0.96875
Czech	REAL_REAL	9	0.06453	0.06453	0.06453	0.06453	0.96875
Czech	REAL_REAL	10	0.07098	0.07098	0.07098	0.07098	0.96875
Czech	REAL_REAL	11	0.07744	0.07744	0.07744	0.07744	0.96875
Czech	REAL_REAL	12	0.08389	0.08389	0.08389	0.08389	0.96875
Czech	REAL_REAL	13	0.09034	0.09034	0.09021	0.09034	0.96875
Czech	REAL_REAL	14	0.09679	0.09679	0.09343	0.09679	0.96875
Czech	REAL_REAL	15	0.10325	0.10308	0.09604	0.10325	0.96875
Czech	REAL_REAL	16	0.1097	0.10631	0.09705	0.1097	0.96875
Czech	REAL_REAL	17	0.11615	0.10953	0.09743	0.11424	0.96875
Czech	REAL_REAL	18	0.12261	0.11276	0.09766	0.11716	0.96875
Czech	REAL_REAL	19	0.12906	0.11495	0.09766	0.11868	0.96875
Czech	REAL_REAL	20	0.13551	0.11692	0.09766	0.12019	0.96875
Czech	REAL_REAL	21	0.14197	0.11853	0.09766	0.12234	0.96875
Czech	REAL_REAL	22	0.14842	0.11943	0.09766	0.12415	0.96875
Czech	REAL_REAL	23	0.15487	0.11943	0.09766	0.12488	0.96875
Czech	REAL_REAL	24	0.16132	0.11943	0.09766	0.12523	0.96875
Czech	REAL_REAL	25	0.16778	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	26	0.17423	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	27	0.18068	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	28	0.18714	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	29	0.19359	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	30	0.20004	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	31	0.2065	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	32	0.21295	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	33	0.2194	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	34	0.22585	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	35	0.23231	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	36	0.23876	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	37	0.24521	0.11943	0.09766	0.12537	0.96875
Czech	REAL_REAL	38	0.25167	0.11943	0.09766	0.12537	0.96875
Czech	RANDOM_BY_TYPE	0	0.00645	0.00645	0.00645	0.00645	0.98828
Czech	RANDOM_BY_TYPE	1	0.01291	0.01291	0.01291	0.01291	0.98828
Czech	RANDOM_BY_TYPE	2	0.01936	0.01936	0.01936	0.01936	0.99902
Czech	RANDOM_BY_TYPE	3	0.02581	0.02581	0.02581	0.02581	0.98828
Czech	RANDOM_BY_TYPE	4	0.03226	0.03226	0.03226	0.03226	0.99902
Czech	RANDOM_BY_TYPE	5	0.03872	0.03872	0.03872	0.03872	0.99902
Czech	RANDOM_BY_TYPE	6	0.04517	0.04517	0.04517	0.04517	0.99902
Czech	RANDOM_BY_TYPE	7	0.05162	0.05162	0.05162	0.05162	0.98828
Czech	RANDOM_BY_TYPE	8	0.05808	0.05808	0.05808	0.05808	0.98828
Czech	RANDOM_BY_TYPE	9	0.06453	0.06453	0.06453	0.06453	0.99902
Czech	RANDOM_BY_TYPE	10	0.07098	0.07098	0.07098	0.07098	0.99902
Czech	RANDOM_BY_TYPE	11	0.07744	0.07744	0.07744	0.07744	0.99902
Czech	RANDOM_BY_TYPE	12	0.08389	0.08389	0.08389	0.08389	0.99902
Czech	RANDOM_BY_TYPE	13	0.09034	0.09034	0.09034	0.09034	0.99902
Czech	RANDOM_BY_TYPE	14	0.09679	0.09679	0.09679	0.09679	0.98828
Czech	RANDOM_BY_TYPE	15	0.10325	0.10325	0.09922	0.10325	0.98828
Czech	RANDOM_BY_TYPE	16	0.1097	0.1097	0.10245	0.1097	0.98828
Czech	RANDOM_BY_TYPE	17	0.11615	0.11362	0.10567	0.11615	0.98828
Czech	RANDOM_BY_TYPE	18	0.12261	0.11684	0.1089	0.12261	0.98828
Czech	RANDOM_BY_TYPE	19	0.12906	0.11891	0.11213	0.12893	0.98828
Czech	RANDOM_BY_TYPE	20	0.13551	0.1202	0.11535	0.13034	0.98828
Czech	RANDOM_BY_TYPE	21	0.14197	0.12313	0.11858	0.1314	0.98828
Czech	RANDOM_BY_TYPE	22	0.14842	0.12403	0.12181	0.13202	0.98828
Czech	RANDOM_BY_TYPE	23	0.15487	0.12486	0.12242	0.13226	0.98828
Czech	RANDOM_BY_TYPE	24	0.16132	0.12701	0.12242	0.13226	0.98828
Czech	RANDOM_BY_TYPE	25	0.16778	0.12904	0.12242	0.13367	0.98828
Czech	RANDOM_BY_TYPE	26	0.17423	0.12904	0.12242	0.13529	0.98828
Czech	RANDOM_BY_TYPE	27	0.18068	0.12904	0.12242	0.1369	0.98828
Czech	RANDOM_BY_TYPE	28	0.18714	0.12904	0.12242	0.13834	0.98828
Czech	RANDOM_BY_TYPE	29	0.19359	0.12904	0.12242	0.13963	0.98828
Czech	RANDOM_BY_TYPE	30	0.20004	0.12904	0.12242	0.14092	0.98828
Czech	RANDOM_BY_TYPE	31	0.2065	0.12904	0.12242	0.14201	0.98828
Czech	RANDOM_BY_TYPE	32	0.21295	0.12904	0.12242	0.14309	0.98828
Czech	RANDOM_BY_TYPE	33	0.2194	0.12904	0.12242	0.14413	0.98828
Czech	RANDOM_BY_TYPE	34	0.22585	0.12904	0.12242	0.14505	0.98828
Czech	RANDOM_BY_TYPE	35	0.23231	0.12904	0.12242	0.14587	0.98828
Czech	RANDOM_BY_TYPE	36	0.23876	0.12904	0.12242	0.1463	0.98828
Czech	RANDOM_BY_TYPE	37	0.24521	0.12904	0.12242	0.14665	0.98828
Czech	RANDOM_BY_TYPE	38	0.25167	0.12904	0.12242	0.14667	0.98828
Czech	GROUND	0	0.00645	0.00645	0.00645	0.00645	0.96875
Czech	GROUND	1	0.01291	0.01291	0.01291	0.01291	0.96875
Czech	GROUND	2	0.01936	0.01936	0.01936	0.01936	0.96875
Czech	GROUND	3	0.02581	0.02581	0.02581	0.02581	0.96875
Czech	GROUND	4	0.03226	0.03226	0.03226	0.03226	0.96875
Czech	GROUND	5	0.03872	0.03872	0.03872	0.03872	0.96875
Czech	GROUND	6	0.04517	0.04517	0.04517	0.04517	0.96875
Czech	GROUND	7	0.05162	0.05162	0.05162	0.05162	0.96875
Czech	GROUND	8	0.05808	0.05808	0.05808	0.05808	0.96875
Czech	GROUND	9	0.06453	0.06453	0.06453	0.06453	0.96875
Czech	GROUND	10	0.07098	0.07098	0.07098	0.07098	0.96875
Czech	GROUND	11	0.07744	0.07744	0.07744	0.07744	0.96875
