Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	0	5.613090635743616	2.856826354862538	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	1	2.7562642808810778	0.15706694535030552	2.856826354862538
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	2	2.5991973355307723	0.03239911801342732	3.170960245563149
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	3	2.566798217517345	0.0026246348373133443	3.268157599603431
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	4	2.5641735826800316	0.00025623819691356076	3.2786561389526843
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	5	2.563917344483118	2.9895073775154657e-05	3.279937329937252
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	6	2.563887449409343	0.0	3.280116700379903
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	7	2.563887449409343	0.0	3.280116700379903
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	8	2.563887449409343	0.0	3.280116700379903
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	9	2.563887449409343	0.0	3.280116700379903
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	6393044	RANDOM	10	2.563887449409343	0.0	3.280116700379903
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	0	3.782131479060978	1.8709667903067846	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	1	1.9111646887541935	0.36448192275350877	1.8709667903067846
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	2	1.5466827660006848	0.2655039916800723	2.599930635813802
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	3	1.2811787743206124	0.1963715356862783	3.3964426108540193
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	4	1.0848072386343341	0.09587273965754162	4.1819287535991325
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	5	0.9889344989767925	0.04034711603127439	4.66129245188684
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	6	0.9485873829455181	0.017137430575658974	4.9033751480744865
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	7	0.9314499523698592	0.008093291398017954	5.0233371621041
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	8	0.9233566609718412	0.004208955658731139	5.088083493288243
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	9	0.9191477053131101	0.0016444510518059952	5.125964094216823
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	1386973	RANDOM	10	0.9175032542613041	0.0004222497522449187	5.142408604734883
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	0	5.613090635743616	2.8774336289639977	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	1	2.735657006779618	0.142057575451771	2.8774336289639977
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	2	2.593599431327847	0.02803118630890511	3.1615487798675397
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	3	2.565568245018942	0.0015346151938757657	3.245642338794255
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	4	2.564033629825066	0.00011374538169439674	3.251780799569758
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	5	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	6	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	7	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	8	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	9	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	2631340	9256237	10	2.5639198844433717	0.0	3.25234952647823
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8903142	RANDOM	0	5.613090635743616	2.863131018001448	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8903142	RANDOM	1	2.7499596177421677	0.15316616389310544	2.863131018001448
