Script	Run	Model	AUC
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4757831	RANDOM	30.657107280761352
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	231985	RANDOM	30.07388012390062
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData.py	6257315	972057	20.80464274900536
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	9037389	RANDOM	30.226396198310866
forWords_Japanese_RandomOrder_Normalized_FullData.py	8539847	RANDOM	42.88164683609344
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6127712	8893662	20.80395008922381
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	9338119	RANDOM	30.664403777980837
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2403729	RANDOM	41.738563207275014
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	8848559	2291649	29.956640900986308
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	7522371	RANDOM	30.010493412058324
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	5700011	564859	20.80436750305909
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4265644	4517527	30.15195270628065
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	486755	RANDOM	30.551346393003442
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2215230	RANDOM	30.143975242144773
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1797637	RANDOM	20.945542850315665
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData.py	75500	RANDOM	20.855628216101188
forWords_Japanese_RandomOrder_Normalized_FullData.py	4749122	6226414	42.79861006224556
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData.py	5838638	3208255	20.803996044822195
forWords_Japanese_RandomOrder_Normalized_FullData.py	6302803	RANDOM	42.898618762655374
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1745657	972057	20.8049139240041
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	7953544	REAL	44.24951703297873
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData.py	6354420	564859	20.804227925022985
forWords_Japanese_RandomOrder_Normalized_FullData.py	8199459	499466	42.79833005887136
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7940336	6952377	20.807613460344623
forWords_Japanese_RandomOrder_Normalized_FullData.py	7942465	RANDOM	42.857697112995496
