Language	Type	ModelID	AUC
Czech-PDT	RANDOM_INFOSTRUC	1100715	10.8701953888
Czech-PDT	RANDOM_INFOSTRUC	1626724	10.84416008
Czech-PDT	RANDOM_INFOSTRUC	1972582	10.9579439163
Czech-PDT	RANDOM_INFOSTRUC	1976660	10.9753770828
Czech-PDT	RANDOM_INFOSTRUC	2279542	10.9469013214
Czech-PDT	RANDOM_INFOSTRUC	3282832	10.8621320724
Czech-PDT	RANDOM_INFOSTRUC	3702565	10.8539657593
Czech-PDT	RANDOM_INFOSTRUC	464726	10.8371753693
Czech-PDT	RANDOM_INFOSTRUC	4756808	10.8471574783
Czech-PDT	RANDOM_INFOSTRUC	5658554	10.8828840256
Czech-PDT	RANDOM_INFOSTRUC	5784775	10.8026447296
Czech-PDT	RANDOM_INFOSTRUC	616681	10.8551654816
Czech-PDT	RANDOM_INFOSTRUC	6203613	10.9233665466
Czech-PDT	RANDOM_INFOSTRUC	7111368	10.8669452667
Czech-PDT	RANDOM_INFOSTRUC	739125	10.9091444016
Czech-PDT	RANDOM_INFOSTRUC	7693544	10.8999738693
Czech-PDT	RANDOM_INFOSTRUC	8152332	10.8824520111
Czech-PDT	RANDOM_INFOSTRUC	9108388	10.8907194138
Czech-PDT	RANDOM_INFOSTRUC	9139359	10.8245382309
Czech-PDT	RANDOM_INFOSTRUC	9737817	10.9663295746
Czech-PDT	REAL_REAL	217268	10.6841249466
Czech-PDT	REAL_REAL	5025982	10.6775751114
Czech-PDT	REAL_REAL	6221916	10.6801786423
Czech-PDT	REAL_REAL	6891892	10.6855707169
Czech-PDT	REAL_REAL	8895899	10.6832284927
Czech-PDT	RANDOM_BY_TYPE	1265373	10.717294693
Czech-PDT	RANDOM_BY_TYPE	1317752	10.7404680252
Czech-PDT	RANDOM_BY_TYPE	1914216	10.7104253769
Czech-PDT	RANDOM_BY_TYPE	2278254	10.7479486465
Czech-PDT	RANDOM_BY_TYPE	2375104	10.7916927338
Czech-PDT	RANDOM_BY_TYPE	2769407	10.7077445984
Czech-PDT	RANDOM_BY_TYPE	3083736	10.7844047546
Czech-PDT	RANDOM_BY_TYPE	3142365	10.7084417343
Czech-PDT	RANDOM_BY_TYPE	3173867	10.7280130386
Czech-PDT	RANDOM_BY_TYPE	442845	10.7588825226
Czech-PDT	RANDOM_BY_TYPE	5336814	10.7639331818
Czech-PDT	RANDOM_BY_TYPE	5701965	10.764330864
Czech-PDT	RANDOM_BY_TYPE	736589	10.7823200226
Czech-PDT	RANDOM_BY_TYPE	7519132	10.7645301819
Czech-PDT	RANDOM_BY_TYPE	772586	10.7948446274
Czech-PDT	RANDOM_BY_TYPE	8318675	10.7891988754
Czech-PDT	RANDOM_BY_TYPE	8759520	10.7152242661
Czech-PDT	RANDOM_BY_TYPE	8936959	10.7472629547
Czech-PDT	RANDOM_BY_TYPE	9213874	10.773478508
Czech-PDT	RANDOM_BY_TYPE	9861814	10.7067747116
Czech-PDT	GROUND	2193306	10.6298017502
Czech-PDT	GROUND	233681	10.6329202652
Czech-PDT	GROUND	3979991	10.6325244904
Czech-PDT	GROUND	5586109	10.6295404434
Czech-PDT	GROUND	8137220	10.6334648132
