Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Czech-PDT	RANDOM_INFOSTRUC	0	0.0462988093495	0.0462988093495	0.0462988056242	0.0462988093495	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	1	0.0925976186991	0.0925976186991	0.0925976112485	0.0925976186991	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	2	0.138896435499	0.138896435499	0.138896435499	0.138896435499	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	3	0.185195237398	0.185195237398	0.185195222497	0.185195237398	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	4	0.231494054198	0.231494054198	0.231494054198	0.231494054198	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	5	0.277792870998	0.277792870998	0.277792870998	0.277792870998	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	6	0.324091672897	0.324091672897	0.324091672897	0.324091672897	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	7	0.370390474796	0.370390474796	0.370390444994	0.370390474796	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	8	0.416689306498	0.416689306498	0.416689276695	0.416689306498	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	9	0.462988108397	0.462988108397	0.462988108397	0.462988108397	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	10	0.509286940098	0.509286940098	0.509286940098	0.509286940098	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	11	0.555585741997	0.555585741997	0.555585741997	0.555585741997	0.9980468749999996
Czech-PDT	RANDOM_INFOSTRUC	12	0.601884543896	0.601884543896	0.601884543896	0.601884543896	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	13	0.648183345795	0.648183345795	0.63237208128	0.648183345795	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	14	0.694482147694	0.685192942619	0.655521512032	0.694482147694	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	15	0.740780949593	0.708342313766	0.678670883179	0.722465753555	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	16	0.787079811096	0.731491744518	0.701820313931	0.745615184307	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	17	0.833378612995	0.75464117527	0.724969744682	0.768764615059	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	18	0.879677414894	0.777790546417	0.748119115829	0.791913986206	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	19	0.925976216793	0.800939917564	0.764409303665	0.815063416958	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	20	0.972275018692	0.822893321514	0.7798422575	0.83802062273	0.9785156249999996
Czech-PDT	RANDOM_INFOSTRUC	21	1.0185738802	0.838326275349	0.794957637787	0.85674571991	0.9785156249999996
