Script	Run	Model	AUC
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1523273	972057	21.216845578739864
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1539728	9797975	21.193366563908413
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	167005	REVERSE	21.702227398508022
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1907746	6952377	21.197628746849016
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2242279	564859	21.186641375467033
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2562242	RANDOM	21.47809387290534
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2592501	RANDOM	21.596206537638878
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2633428	REAL	21.158138485510307
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2648477	RANDOM	21.4252140114367
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	265210	545331	21.205046936530458
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3038842	3208255	21.1940904981374
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3502985	REVERSE	21.70197983059104
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3851656	8192725	21.18786394143082
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	3929208	6712256	21.205629416591492
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4006588	8893662	21.19123471451146
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4199198	RANDOM	21.63928545047419
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4416331	RANDOM	21.485435646662417
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	448109	REVERSE	21.70220137954159
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4506885	RANDOM	21.403597168586018
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4543368	6712256	21.197467693294726
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4579015	RANDOM	21.60009230834082
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	4691012	7515783	21.198756092544734
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	5034522	RANDOM	21.3829291471815
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	5142285	3208255	21.19355212563122
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	524859	564859	21.18713116661386
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	5661998	RANDOM	21.62313607090246
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6543124	RANDOM	21.453228887286286
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6630067	RANDOM	21.57160977115715
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6631276	RANDOM	21.440957606469187
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6914425	545331	21.20416086040094
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	6927545	RANDOM	21.49159809269242
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7183620	RANDOM	21.64362177297911
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7222168	RANDOM	21.57160150801588
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7242977	REVERSE	21.702680224504153
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	736472	9797975	21.194436330647825
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	7491216	8893662	21.19120510436298
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8067787	RANDOM	21.45923025343808
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8069981	972057	21.217425010628432
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8167137	RANDOM	21.605839432172154
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8200263	7515783	21.197465857729902
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8200741	RANDOM	21.62357672920315
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	837167	6952377	21.197628160003582
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8396128	8192725	21.187813742944726
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8571625	RANDOM	21.70086824365429
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8916167	RANDOM	21.643822531807025
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	8998828	REAL	21.157897774753536
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	132072	RANDOM	47.230715674494036
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	1412141	2291649	46.83100739147006
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	1703068	780748	46.65289915569589
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2569684	RANDOM	47.16062476356119
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	278748	RANDOM	47.35105352625343
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2872523	2980412	46.735310832782304
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2874940	499466	46.68224120058794
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	2967143	REAL	46.680585344446314
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3055751	499466	46.68813715427848
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3187609	2598724	46.82450615143142
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3360528	6226414	46.65159039335429
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3393992	REVERSE	47.45081524514788
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3475549	8506482	46.655467481463596
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	3704817	4517527	46.769236701958775
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4248054	RANDOM	47.28897853818194
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4389565	RANDOM	47.457261177636624
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4538942	RANDOM	47.41197937746128
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4730562	780748	46.65288655560643
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4824816	2598724	46.8245882143408
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	4934377	2980412	46.72917265161507
forWords_Japanese_RandomOrder_Normalized_FullData_Heldout.py	5073058	8506482	46.64858227029963
