999 21.914083770892784
21.913780348010683 21.913953958343946 21.913953958343946 21.913953958343946 21.91399557731863 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.91406371527261 21.914083770892784
Namespace(alpha=0.0, cutoff=3, delta=1.0, gamma=1, idForProcess=7758242, language='Sesotho_Acqdiv', model=None)
wa 0
9 2
8 4
pn 6
ps 8
pr 10
av 12
sm 14
ng 16
cj 18
5 20
if 22
3 24
cp 26
t^ 28
ij 30
rl 32
2 34
wo 36
om 38
ap 40
1 42
10 44
wh 46
a. 48
6 50
sr 52
14 54
2a 56
m^ 58
17 60
fi 62
lc 64
di 66
f^ 68
7 70
2s 72
st 74
.. 76
1s 78
lo 80
ht 82
rf 84
9a 86
ei 88
