999 43.66579267889497
43.663618136096474 43.6657027870682 43.6657027870682 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497 43.66579267889497
Namespace(alpha=1.0, cutoff=7, delta=1.0, gamma=1, idForProcess=2079202, language='Sesotho_Acqdiv', model=None)
m. 0
lc 2
cl 4
mi 6
c 8
c/ 10
ap 12
rv 14
ps 16
t^ 18
p 20
nt 22
rc 24
cp 26
m^ 28
wh 30
p/ 32
rl 34
