699 44.271237774990624
44.270883485080596 44.27119088113656 44.27122632542121 44.27122632542121 44.27122632542121 44.27122632542121 44.27122632542121 44.27122632542121 44.27122632542121 44.27122632542121 44.271237774990624 44.271237774990624 44.271237774990624 44.271237774990624
Namespace(alpha=0.0, cutoff=12, delta=1.0, gamma=1, idForProcess=5377446, language='Sesotho_Acqdiv', model=None)
sm 0
5 2
8 4
1 6
di 8
sr 10
14 12
av 14
7 16
ng 18
2s 20
ht 22
m^ 24
1s 26
2 28
cp 30
wh 32
lo 34
wa 36
10 38
t^ 40
17 42
if 44
rf 46
wo 48
rl 50
9 52
2a 54
om 56
cj 58
9a 60
3 62
st 64
pn 66
6 68
pr 70
ei 72
f^ 74
ij 76
ps 78
lc 80
