999 50.40339759462865
50.40218500231247 50.40270639636122 50.40283755720013 50.40339464964626 50.40339655528962 50.40339655528962 50.40339655528962 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865 50.40339759462865
Namespace(alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=8798398, language='Sesotho_Acqdiv', model=None)
lc 0
sr 2
6 4
2 6
5 8
if 10
wa 12
cj 14
cp 16
17 18
14 20
ps 22
9a 24
sm 26
pn 28
1s 30
2s 32
m^ 34
lo 36
1 38
8 40
ht 42
7 44
di 46
av 48
pr 50
9 52
f^ 54
st 56
ij 58
t^ 60
rf 62
ng 64
om 66
10 68
rl 70
2a 72
ei 74
wo 76
wh 78
3 80
