Script	Model
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	1777322
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	1949734
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	4930511
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	7758242
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	8407239
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_HeldoutClip.py	3208767
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_HeldoutClip.py	4831858
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_HeldoutClip.py	6395637
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_HeldoutClip.py	6803368
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_HeldoutClip.py	829447
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	103550
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	4624615
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	55410
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	5578450
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	6457475
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_HeldoutClip.py	2079202
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_HeldoutClip.py	3656860
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_HeldoutClip.py	3790018
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_HeldoutClip.py	7044825
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_HeldoutClip.py	7354001
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	1303823
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	5098877
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	5377446
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	6399207
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	6818870
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	1999224
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	348364
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	4843002
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	4972104
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	7265771
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	8480303
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	862072
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	8798398
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	8951345
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_HeldoutClip.py	9368684
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	2845979
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	2871029
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	5420249
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	795909
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	9593963
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	3663661
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	4160202
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	4379854
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	4556583
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	5061089
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	6900616
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	7498743
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	7556199
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	7802550
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_HeldoutClip.py	8424600
