FileName	ModelName	Counter	AverageLoss	DH_Mean_NoPunct	DH_Sigma_NoPunct	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	Dependency
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.521351	0.19372694	2.4087334	0.14522494	acl
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.7452799	0.054141287	2.3408177	0.066539735	advcl
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.1951568	0.022071704	-0.7641268	-0.016997583	advmod
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.1989484	0.08612835	-4.287931	0.08329799	amod
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.3040094	0.19174217	1.0742568	0.109060824	appos
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.89375746	0.03844981	-0.83960825	0.029620806	aux
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.26348	0.21660623	-0.9177398	0.018274242	case
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.348329	0.14656302	3.7246912	0.09986558	cc
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.7779317	0.24828963	1.5561936	0.073632956	ccomp
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.09230692	0.024506249	-4.4430203	0.19144197	compound
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-5.381762	0.15787297	2.5994902	0.061530203	conj
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.4901947	0.040608227	-0.917213	0.03714734	cop
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.702263	0.256305	1.4098531	0.120308004	csubj
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.20633371	0.61487854	-0.32459974	0.5780441	dep
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.960782	0.22660325	-2.7530963	0.06098278	det
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.4655247	0.17466106	0.6741185	0.11738292	discourse
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.2730372	0.85576284	1.1204535	0.891446	dislocated
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.1476743	0.04494331	-0.83737874	0.025092864	expl
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.8941674	0.42747322	-0.0916823	0.59978783	fixed
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.8527653	0.14095367	-2.5836182	0.19439952	flat
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.64308566	0.21649276	-1.906675	0.71295327	goeswith
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.18183547	0.09084919	-0.388725	0.019275755	iobj
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.5824342	0.5740671	1.2040987	0.6714765	list
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.8768551	0.065464556	3.0243504	0.042799424	mark
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.6916893	0.07618057	-0.52085334	0.06483124	nmod
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.2092462	0.016442066	0.18451093	-0.04466544	nsubj
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.6161516	0.095697306	-2.9756327	0.09541349	nummod
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.0910631	0.03930034	-0.5065387	0.056514844	obj
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.67031324	0.0316341	0.23789936	-0.019208303	obl
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.5370276	0.19944432	2.2130299	0.3395563	orphan
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.2933216	0.08899762	2.6425114	0.07971384	parataxis
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.025686316	1.0049231	0.013290471	1.0247315	punct
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.32860848	0.32815996	1.2068375	0.6440144	vocative
3881311	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.2203493	0.100421764	0.8781325	0.067244865	xcomp
