FileName	ModelName	Counter	AverageLoss	DH_Mean_NoPunct	DH_Sigma_NoPunct	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	Dependency
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.041661054	0.09300808	-1.5436074	0.11905294	acl
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.86315316	0.020226702	1.2660775	0.051580757	advcl
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.87769824	-0.032452814	-0.76894486	0.0395497	advmod
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.2015324	0.03678268	-2.6693766	0.08425313	amod
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.4134555	0.43146613	-0.5774805	0.39286116	appos
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.9213173	0.12248498	-0.84549665	0.029662179	aux
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.1889318	0.024337946	0.9094239	0.2004675	case
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	5.223098	0.1763181	3.2965877	0.1586394	cc
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.5183837	0.30355123	1.5454857	0.16865405	ccomp
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.42474195	0.10659059	-0.82105726	0.072817594	compound
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-6.5114613	0.39181757	2.3087332	0.06183263	conj
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.9926146	0.05616413	-0.86527115	0.053859945	cop
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.1936119	0.20259704	0.99473906	0.3058485	csubj
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.14288945	0.94602215	0.088716544	1.004324	dep
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.348636	0.105286986	-1.0313855	0.115548365	det
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.8452728	0.24379171	2.7644608	0.3973892	discourse
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.899861	0.43582755	-3.8522494	0.4045667	flat
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.0232422	0.5553179	1.2851897	0.94179654	list
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.549621	0.22997685	3.0382507	0.06920569	mark
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.548386	-0.06553129	-1.8712193	0.08228474	nmod
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.756912	0.00575847	-0.0534989	-0.03288456	nsubj
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.48371884	0.049501922	-0.47223198	0.088509716	nummod
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.4929612	0.037427295	-0.66672343	0.029865943	obj
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.21265064	0.027851224	-0.5983304	-0.018881952	obl
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.9887561	0.45739698	0.9684729	0.6174173	orphan
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.2305877	0.12714465	2.9776323	0.136754	parataxis
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.024036702	1.0003499	-0.013305668	1.0378436	punct
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.17785707	0.25670668	1.0101172	0.36096752	vocative
8499875	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.479096	0.080852844	0.062481944	0.087202184	xcomp
