FileName	ModelName	Counter	AverageLoss	DH_Mean_NoPunct	DH_Sigma_NoPunct	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	Dependency
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-6.276969	0.36906552	1.9144181	0.1368628	acl
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.0191385	0.048830166	2.2073774	0.10015603	advcl
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.42660466	0.024026861	-0.86717707	0.0223134	advmod
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-6.862778	0.37826806	-1.8876699	0.032763418	amod
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.9800563	0.28766102	0.96832824	0.10061944	appos
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.5186753	0.1192057	-0.8970983	0.058867037	aux
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.730386	0.23113449	1.0581657	0.07222184	case
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	5.1997056	0.14362265	5.0609484	0.18900141	cc
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.8234103	0.26223716	2.1960275	0.16151871	ccomp
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-6.9779987	0.36040494	-6.872178	0.3624636	compound
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-6.5964384	0.3578045	2.6047814	0.053449325	conj
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.0489726	0.27291444	-0.8187428	0.07926995	cop
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.9939063	0.7145988	0.26266086	0.91737103	csubj
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.3009195	0.044042435	0.59951913	0.0894165	dep
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	7.6416955	0.33282438	-2.1341531	0.075933516	det
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.8562669	0.73518187	1.1962234	0.48161316	dislocated
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-5.12441	0.41542888	-1.6939795	0.5905396	fixed
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-5.9268813	0.39971796	-4.408586	0.34890658	flat
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.49213034	0.9505784	-0.3664298	0.9330191	goeswith
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.8107915	0.045807563	0.10420908	0.111829825	iobj
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.592903	0.3662293	1.722662	0.056762256	mark
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.5129964	0.09003644	-0.07375699	0.05839651	nmod
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.838718	0.011915043	-0.15677874	0.046352196	nsubj
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.2318885	-0.057510667	-1.9592602	0.09576221	nummod
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.2008064	0.09684861	-0.09869556	0.030888028	obj
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.1394608	0.014776212	0.43196392	0.051848035	obl
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.12452273	0.14957407	0.68554705	0.13853745	parataxis
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.041222334	0.9857639	0.020989891	1.0074675	punct
8863015	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.9408927	0.3102082	0.7203956	0.096507266	xcomp
