FileName	ModelName	Counter	AverageLoss	DH_Mean_NoPunct	DH_Sigma_NoPunct	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	Dependency
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	7.1145487	0.3339264	1.1429707	0.02482499	acl
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.437077	0.35997283	2.6598465	0.05263163	advcl
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.2727947	0.3643903	1.2813803	0.018515209	advmod
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	5.951802	0.36145774	-1.3321152	0.104100615	amod
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-7.8349853	0.3425842	-1.6806021	0.03206572	aux
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-8.369295	0.3192708	0.56225234	0.0366905	case
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.7758713	0.40748212	0.62995267	0.56322336	cc
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.2535973	0.45251793	-2.1580334	0.36772594	ccomp
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.38571	0.03142141	-2.548524	0.06208318	compound
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-5.8121147	0.38567644	-2.133261	0.04619578	cop
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.8910024	0.47752696	1.9537735	0.19845852	csubj
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.8208956	0.7992725	0.25200808	0.5348922	dep
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	5.009826	0.41587237	0.5715625	0.2938238	det
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.3149023	0.44135675	-0.81499964	0.12255641	fixed
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.4073954	0.38442838	0.50045013	0.06343055	iobj
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-7.184065	0.36057177	-1.6891232	-0.05792726	mark
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	7.3716197	0.3510351	1.5317061	0.09239515	nmod
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.7715864	0.35608485	1.2941155	0.040798843	nsubj
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.0653877	0.392139	-0.31391212	0.09222105	nummod
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	6.561767	0.3508362	-0.41654682	0.03389289	obj
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	7.13768	0.34573114	0.9414432	0.019806573	obl
8706559	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.022716975	1.0204344	-0.039585713	1.0241785	punct
