FileName	ModelName	Counter	AverageLoss	DH_Mean_NoPunct	DH_Sigma_NoPunct	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	Dependency
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.5186496	0.19222537	-0.6274781	0.30041456	acl
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.9610378	0.19142143	1.973949	0.29280284	advcl
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.3361867	0.044849403	-1.0163513	0.085873246	advmod
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.50054	0.3395307	-3.4128306	0.284387	amod
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.645567	0.5623262	0.15817086	0.897572	appos
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	3.7844703	0.2686998	-1.084142	0.078885496	aux
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.0191808	0.16256407	1.070153	0.5095727	case
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.769537	0.11751426	0.98070824	0.106579095	cc
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.1076949	0.2708695	0.91008645	0.33733332	ccomp
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.3777168	0.63466364	0.1983093	0.93499845	compound
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-4.5476484	0.4434776	3.470507	0.17329912	conj
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.3246007	0.20353113	-1.398905	0.08105633	cop
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.0903084	0.50484663	0.564236	0.5163828	csubj
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.8971324	0.29545358	-1.2871401	0.6013647	det
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.20127076	0.15265292	-1.8228819	0.16150229	discourse
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-3.2287092	0.53846174	0.05629551	0.9882278	flat
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	4.090236	0.4006739	3.0581439	0.3486114	mark
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.6877857	0.08797642	-1.9965216	0.20088197	nmod
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	1.4676085	0.06456714	-0.37823275	0.050647695	nsubj
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	2.1696713	0.36079746	-1.5502353	0.5054202	nummod
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-1.509179	0.06360237	-1.1869549	0.05870239	obj
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.7174965	0.04331602	-0.30411786	0.0528083	obl
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.0485275	0.2597337	3.9887977	0.40218246	parataxis
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-0.009875368	0.99815804	0.008315024	1.0087279	punct
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	0.71798235	0.5519539	1.369733	0.77339464	vocative
4402631	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_Coarse.py	1990000	10.0	-2.322776	0.24624005	-0.6251669	0.24830887	xcomp
