Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.7584583227	1.98408352745	2.83871873976	5	NA	333755759	1.05628990562
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.838379069	1.94622116395	2.84460789525	5	NA	976341528	1.05303487672
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	59.1180048452	1.82893222824	2.86445363085	4	NA	338974236	1.02768047296
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.9839269963	1.76762038455	2.86081533059	4	NA	599677200	1.02202611563
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.8071341904	1.91783954312	2.84446473237	4	NA	120228440	1.05321265416
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.8259972107	1.9704843906	2.842775641	5	NA	102593	1.04851012067
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.5516667288	1.97889178814	2.82863874704	5	NA	5419081	1.05412987552
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.7896170929	1.89395509159	2.84478310007	4	NA	387775407	1.06370517719
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.6619580171	1.97326832373	2.83443448467	5	NA	360577944	1.07670288028
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.7865229207	1.79736158254	2.84945806691	4	NA	811200804	1.04731937843
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	59.0414854874	1.97251223532	2.8534486626	5	NA	583761800	1.04190179344
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.7524369785	1.94521461213	2.84036111832	5	NA	778741291	1.06384553689
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.420120333	1.97131439759	2.82244029677	4	NA	216883261	1.05846647805
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	59.125511354	1.87610334258	2.86247040057	5	NA	587757106	1.04057887031
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.687015103	1.88120382426	2.84029056394	4	NA	604564074	1.03936991921
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	59.0181212226	1.89533288144	2.85613941706	4	NA	6139157	1.04031961433
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Afrikaans	Afrikaans	0.45	50	512	1	0.005	REAL_REAL	0.1	4	20	58.1447574349	1.9603438927	2.80922067711	5	NA	1740646	1.06847350406
