Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	48.6237052352	2.5902971595	2.30167040378	9	NA	6930147	1.72125727192
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	50.0100285703	2.43702722332	2.37865006735	6	NA	2176788	1.65013077084
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	48.0012463552	2.73273901762	2.26342536688	9	NA	4155043	1.75936591219
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	49.0151552233	2.56958318316	2.322278602	8	NA	2707110	1.70866232441
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	48.9842056289	2.57233976962	2.32059329296	8	NA	9321678	1.71193236696
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	48.6409824784	2.6463965825	2.2997292948	9	NA	3578449	1.72788681106
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	47.1019425828	2.85525675844	2.21233429122	12	NA	4321932	1.80824111869
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	REAL_REAL	0.15	4	20	48.2538897018	2.65211843851	2.28008856316	8	NA	1846784	1.73768823375
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	53.5304539203	2.6786639846	2.54258949679	9	NA	5779880	1.47551470584
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	56.5630143211	2.03278651854	2.72651139013	6	NA	6141899	1.30712770596
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	59.5796993672	2.05504707072	2.87623261483	5	NA	7270797	1.16312214351
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	55.928949267	2.27675995306	2.6826094657	7	NA	3818921	1.34070885291
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	57.4900097607	2.17363801463	2.7658185873	7	NA	6949273	1.25028878771
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	57.5288105315	2.1554987318	2.76866558999	5	NA	9173475	1.2549432567
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	55.9991045337	2.17770821858	2.69106981575	6	NA	9833396	1.32973913744
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	56.2371068763	2.26527790135	2.69859144875	6	NA	3967609	1.32588973875
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	56.3972226395	2.20409408507	2.70965642772	6	NA	9721512	1.31416398686
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	54.4679795952	2.70398843898	2.58819955781	8	NA	8751743	1.42895413497
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	58.1992786127	2.34942977098	2.79249244209	6	NA	9476470	1.23140418286
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Amharic-Adap	Amharic-Adap	0.35	100	64	1	0.005	RANDOM_BY_TYPE	0.15	4	20	54.1868597678	2.35199892083	2.59174304235	8	NA	3687103	1.43598395906
