Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.4992678278	0.777380678546	1.78609435746	3	NA	1225457	0.430777028032
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.492707969	0.77719025817	1.78577588554	3	NA	4458443	0.430767898737
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.4555637645	0.783177025423	1.78361933696	3	NA	2279856	0.429677407611
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.4823723942	0.775721720837	1.78533253367	4	NA	3297228	0.431194301416
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5147112898	0.761594669251	1.78765583103	3	NA	7354009	0.4256141973
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5354176471	0.754721179005	1.78903482341	4	NA	5240359	0.42739955991
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.4788100827	0.777691248248	1.78505594172	3	NA	8766287	0.428891641377
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.4699523241	0.779443299334	1.78452545124	4	NA	3011090	0.428872376488
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5345037189	0.77342698372	1.78805383676	3	NA	4945134	0.427551222002
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5397853594	0.757567836871	1.78911087613	4	NA	2751490	0.425635639664
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5694351291	0.753428883144	1.7908003123	4	NA	8975065	0.422565151777
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Indonesian	Indonesian	0.45	50	256	2	0.005	REAL_REAL	0.0	64	20	36.5209473301	0.726258040952	1.78973446446	4	NA	5144868	0.424389806651
