Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.2958866265	0.851753264452	2.8222066681	18	NA	130881	0.553712705023
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	58.1459243879	0.685818599116	2.87300528944	12	NA	2776872	0.509577981353
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.7307134082	0.674319870263	2.85281967689	13	NA	8948133	0.523060390385
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.5174277904	0.810607299048	2.83534102457	14	NA	4499214	0.54157631393
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.9326686559	0.749581091613	2.85915437821	13	NA	4700377	0.523420065321
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.290684092	0.83012861633	2.82302777378	19	NA	8655974	0.55722108494
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.9085481721	0.640097095868	2.86342255381	14	NA	4933809	0.515888824685
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	58.0030666749	0.649067598539	2.86769995382	12	NA	3700113	0.502912139807
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	58.276419806	0.665259185871	2.88055803101	11	NA	5560828	0.50244056794
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	58.0979805502	0.655306159061	2.87213371956	12	NA	8378114	0.506930534237
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	58.2879302514	0.742897158455	2.87725165465	11	NA	4168058	0.513036458189
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.3406972482	0.792806729087	2.82739452596	19	NA	1175139	0.548347955643
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.0750152966	0.830147256561	2.812243402	18	NA	4362977	0.565012710069
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.9928142238	0.710884309157	2.86409649573	13	NA	8126347	0.519229857618
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.7057924725	0.718712752972	2.84935398597	14	NA	3976967	0.525941559384
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Adap.py	Thai-Adap	Thai-Adap	0.35	100	128	3	0.001	REAL_REAL	0.25	8	20	57.3527761489	0.68580078363	2.83334876827	18	NA	4123740	0.534626096273
