Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	REAL	0.25	16	20	92.277975193	0.92164150157	4.56781668457	2	NA	2643023	0.690594330926
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	REAL	0.25	16	20	93.1630279027	0.850805959121	4.61561109718	2	NA	2212342	0.673214374668
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	REAL	0.25	16	20	93.8224931462	0.877836329037	4.64723284086	2	NA	8879667	0.673697509302
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	REAL	0.25	16	20	92.5396160011	0.853956897549	4.58428295518	2	NA	941560	0.672409961656
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	REAL	0.25	16	20	92.9195709125	0.898627025338	4.60104719436	2	NA	3867889	0.665358761303
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	RANDOM_BY_TYPE	0.25	16	20	95.8143076974	0.806995366219	4.75036561656	2	NA	2282192	0.524559453417
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	RANDOM_BY_TYPE	0.25	16	20	96.7970007737	0.719967939181	4.80385164173	2	NA	4489749	0.455326624958
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	RANDOM_BY_TYPE	0.25	16	20	96.6461458664	0.602312039264	4.80219169136	2	NA	8036165	0.44226658052
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	RANDOM_BY_TYPE	0.25	16	20	96.5671507281	0.726353078298	4.79203988249	2	NA	5080295	0.481075224442
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Turkish	Turkish	0.3	250	512	1	0.05	RANDOM_BY_TYPE	0.25	16	20	95.1270535633	0.732947485459	4.71970530389	2	NA	4303587	0.514107073512
