Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.342394987	1.76537892539	4.07885080308	6	NA	3480873	1.36455478503
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.1062722818	1.75858531399	4.06738434839	7	NA	4389980	1.37705132333
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.0590619913	1.76628318777	4.06463894018	7	NA	3046840	1.37499572015
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	82.9730084682	1.78821145459	4.05923985068	8	NA	3613919	1.36368873233
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.2661543713	1.72054726137	4.0772803555	5	NA	1875027	1.35486050513
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.1054240817	1.71723720823	4.06940934368	6	NA	8159055	1.36360897537
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	82.9674102219	1.83164623176	4.05678819951	7	NA	2246283	1.38537100075
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.353563666	1.74266467726	4.08054494944	5	NA	8209317	1.35587000118
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	82.9236132798	1.81661274273	4.05535002685	6	NA	926172	1.38011159239
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.2280230203	1.73840445602	4.07448092821	6	NA	8092721	1.36124027858
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Ukrainian	Ukrainian	0.25	100	128	1	0.005	REAL_REAL	0.15	64	20	83.0915534438	1.76659605014	4.06624786968	6	NA	3245899	1.36642946898
