Model	Language	Code	Type	Distance	ConditionalMI	TotalMI	ModelID	UnigramCE
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	1	0.305946912572	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	2	0.0435328934656	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	3	0.014929328428	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	4	0.00255955661456	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	5	0.00328592597002	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	6	0.0027751410941	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	7	0.00223455456905	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	8	0.00245624506869	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	9	0.00200849174555	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	10	0.00156463826277	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	11	0.000886023403651	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	12	0.00100474409669	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	13	0.000809964465808	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	14	0.000808092574757	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	15	0.000272360596671	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	16	0.000108980315636	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	17	0.000597656715706	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	18	5.69339258125e-05	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	19	0.000282245991101	0.386120689876	9672013	3.28851994051
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	1	0.306530197454	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	2	0.0430584067636	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	3	0.0153557947915	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	4	0.00797490001353	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	5	0.00566033121333	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	6	0.00393743227314	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	7	0.000830241602408	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	8	0.00173017117812	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	9	0.00130854459502	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	10	0.000541272741485	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	11	0.000614776354597	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	12	0.00031509423202	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	13	4.60391348027e-05	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	14	0	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	15	0	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	16	0.000148992963045	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	17	0.000336862090661	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	18	0	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	19	0	0.387281326712	271698	3.29893199489
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	1	0.30072896196	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	2	0.0493761743363	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	3	0.0126404629639	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	4	0.00351378900639	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	5	0.00447395614472	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	6	0.00414555674666	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	7	0.00192950118378	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	8	0.00132859040456	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	9	0.00219409679433	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	10	0.00122092679951	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	11	0.000909317082849	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	12	0.00112698727613	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	13	8.31422407224e-05	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	14	0.000380004049245	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	15	0.000472561579691	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	16	0.000325997101973	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	17	0.000212755974337	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	18	0	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	19	0.000121151242989	0.385078401338	5308517	3.29556225593
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	1	0.304872985166	0.389523820009	5771540	3.30170729456
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	2	0.0486062655607	0.389523820009	5771540	3.30170729456
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	3	0.0165916419397	0.389523820009	5771540	3.30170729456
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	4	0.00534685099699	0.389523820009	5771540	3.30170729456
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast.py	Vietnamese	vi	REAL	5	0.0035273902208	0.389523820009	5771540	3.30170729456
