Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.9655505754	1.4752154896	4.14903350858	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.8404661154	1.6606749852	4.11797911302	2
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	43.7970516711	1.37925194942	4.24177997216	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	43.7245063145	1.38054131093	4.23439650035	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.0555159507	1.64586465768	4.04096512931	2
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.9526233636	1.27932313313	4.16733002304	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.9081789108	1.35876477848	4.15494141323	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	43.2707244423	1.52579329307	4.17449311492	1
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	43.4049044261	1.50301736224	4.19018870638	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.8583057148	1.31567016204	4.15426355528	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	43.492352801	1.37031264581	4.21220401551	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	44.0033518286	1.40358986804	4.25997619606	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.8273675766	1.40056950954	4.14267980671	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.9603835467	1.25304146911	4.17073420776	3
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast.py	Basque	eu	0.16	100	256	1	0.01	RANDOM_MODEL	0.1	32	20	42.7283100615	1.29049995286	4.14378101086	3
