Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	111.808830193	1.41725355348	5.51879839985	6	NA	7561363	1.08428170872
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	111.705545685	1.39238595236	5.51569807803	6	NA	1064868	1.07097156007
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	112.092019783	1.3346491932	5.53809055575	5	NA	3964734	1.04494038594
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	111.79630266	1.35232169171	5.5217017616	5	NA	1931318	1.07571544118
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	111.868185777	1.36018651412	5.52548421198	6	NA	2393849	1.06030227811
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	REAL_REAL	0.05	2	0.05	112.016043882	1.34163048792	5.53322301409	5	NA	6740706	1.06420156462
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	RANDOM_BY_TYPE	0.05	2	0.05	119.712482818	1.04300823895	5.93345949057	6	NA	440418	0.654296743379
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	RANDOM_BY_TYPE	0.05	2	0.05	118.263660158	1.20434284375	5.85251032455	6	NA	6990641	0.744071965113
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	RANDOM_BY_TYPE	0.05	2	0.05	117.597517317	1.1603194877	5.82251646121	5	NA	3528887	0.751823609869
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Bulgarian	Bulgarian	0.2	300	512	1	0.1	RANDOM_BY_TYPE	0.05	2	0.05	117.356905258	1.14316233794	5.81105876721	6	NA	9517962	0.768980274902
