Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	102.595368317	0.409459788463	5.10733938403	5	NA	9755517	0.377418525235
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	101.017168114	0.646085426131	5.01624456758	7	NA	1616192	0.475583829965
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	100.90629627	0.56786481302	5.01774011279	8	NA	840959	0.411526150115
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	100.805644024	0.469563300485	5.01177500643	8	NA	5852266	0.534442650183
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	100.163413843	0.537629912608	4.98000865386	9	NA	760318	0.491239260248
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	100.656599233	0.804349191828	4.98940447546	7	NA	8615929	0.520393117782
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	101.699872669	0.111712061757	5.08196733367	5	NA	9409565	0.31248366183
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	100.922370369	0.633446861395	5.01343809882	8	NA	62954	0.45236049319
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	101.083523266	0.653516719652	5.02115488371	7	NA	1976354	0.431391049545
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Cantonese-Adap	Cantonese-Adap	0.3	200	128	1	0.1	REAL_REAL	0.3	2	0.05	101.046682737	0.273695452826	5.03836101154	6	NA	686877	0.413043103043
