Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.43491132967	5.57473330518	6	NA	117263	1.03372367061
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.50316097954	5.55638149981	7	NA	2684993	1.0501670549
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.46785740708	5.55890779129	7	NA	2777867	1.04203937742
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.59843215245	5.52484337897	9	NA	2901607	1.08319706294
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.59670619116	5.52399729416	8	NA	3122921	1.08389507147
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.62924976567	5.52907834484	9	NA	545512	1.07403733176
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.5647360135	5.53600161312	8	NA	6075176	1.06994641908
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.55818766435	5.52966165919	9	NA	7830754	1.07027312871
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.48160758093	5.53829331432	7	NA	7965737	1.05520862351
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.55748446377	5.53564510161	8	NA	8615643	1.06386366253
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	REAL_REAL	0.35	2	0.0	None	1.61484775131	5.52630377831	8	NA	9716104	1.09045256453
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	English	English	0.15	150	1024	2	0.1	RANDOM_BY_TYPE	0.35	2	0.0	None	1.42572139979	5.77710002804	8	NA	2392294	0.850407582649
