Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.2418068571	3.10273142051	4.35702163584	14	NA	1533567	1.92545337441
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.2987550821	3.05407821661	4.36222501405	14	NA	1709379	1.92178386095
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.5245855481	3.04258860961	4.37370845504	13	NA	1975961	1.91795167313
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.8906400815	3.01949637758	4.39347173194	10	NA	209463	1.89206962346
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.464580054	3.07362413378	4.36980813119	13	NA	2341207	1.90881745558
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.3418080538	3.07885716579	4.36321037401	13	NA	2574938	1.91936532433
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.3323217244	3.06427043547	4.36351575592	14	NA	528196	1.918052705
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.2826106429	3.09030262288	4.35960981715	13	NA	6312170	1.92433415025
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.2644843839	3.09247890279	4.35880414696	14	NA	778059	1.92095068537
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.3713114319	3.08214477897	4.3643355717	13	NA	8293400	1.92195193757
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	REAL_REAL	0.25	4	0.0	90.438114125	3.07741206892	4.36805821486	12	NA	942873	1.91531183438
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	97.2757399678	2.91309826902	4.71768002046	12	NA	2575176	1.57519355948
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	97.4781371066	2.84248782017	4.73160889721	11	NA	2799131	1.55569473546
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	99.6194655328	2.90909999776	4.83539792885	10	NA	3822372	1.45084131963
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	96.1140338239	2.84179458869	4.66334082948	13	NA	3823043	1.62591410645
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	100.432127228	2.88885933695	4.8770206887	11	NA	4607184	1.40966571826
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	97.3554165251	2.7708184603	4.72952624961	11	NA	4774466	1.5483791135
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	French	French	0.25	100	1024	3	0.05	RANDOM_BY_TYPE	0.25	4	0.0	99.3532563549	2.86175833075	4.82457076685	12	NA	5100845	1.45934421071
