Model	Language	Code	Drop1	Emb	Dim	Layers	lr	Type	Drop2	Batch	Length	Balanced	Memory	Residual	Duration	NonUniformity	ModelID	MI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	95.8980657902	1.60716276438	4.76554103769	5	NA	1830403	0.676053694503
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	95.1805583098	2.11369051484	4.70393045634	6	NA	2780404	0.745840671835
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	94.9584262397	2.03982755598	4.69805520348	5	NA	3768446	0.720951870765
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	93.5023473652	1.84303951172	4.63522183634	8	NA	4400285	0.781161750474
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	94.0002838011	1.99270547086	4.65438681743	7	NA	4638488	0.72696762438
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	92.7153545646	2.09066760863	4.58558849138	9	NA	5220675	0.788841097185
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	93.8357798617	1.83722841801	4.65356097492	8	NA	7907417	0.735283430577
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	93.8174123355	2.1862569825	4.63450242112	6	NA	8450246	0.768116969496
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	94.300294199	1.85297506662	4.67332345847	7	NA	8652375	0.769038964669
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	REAL_REAL	0.35	2	0.0	93.3797999542	2.1704405633	4.61288290464	7	NA	9448353	0.800330853549
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	RANDOM_BY_TYPE	0.35	2	0.0	98.7881940493	1.85899792705	4.90146848382	5	NA	1046481	0.45987042205
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	RANDOM_BY_TYPE	0.35	2	0.0	98.0691289484	1.8231496901	4.86458244629	6	NA	1080683	0.551260346365
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	RANDOM_BY_TYPE	0.35	2	0.0	96.7016140513	2.13223083844	4.78246730256	10	NA	108252	0.599082319268
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	RANDOM_BY_TYPE	0.35	2	0.0	97.6437513166	1.63549476092	4.8561945397	6	NA	1089464	0.48968368208
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyWordForms_BoundedVocab.py	Naija-Adap	Naija-Adap	0.2	100	256	1	0.1	RANDOM_BY_TYPE	0.35	2	0.0	99.3963868725	1.54833103367	4.94651233943	7	NA	1127929	0.432809170849
